Group	Sample	Bin	Score
IAPEy-int.filt.bed	H3K4me3	1	-0.05476004975124378
IAPEy-int.filt.bed	H3K4me3	2	-0.05476004975124378
IAPEy-int.filt.bed	H3K4me3	3	-0.0545929104477612
IAPEy-int.filt.bed	H3K4me3	4	-0.05198941791044776
IAPEy-int.filt.bed	H3K4me3	5	-0.05167332835820895
IAPEy-int.filt.bed	H3K4me3	6	-0.05272192039800995
IAPEy-int.filt.bed	H3K4me3	7	-0.05225402487562189
IAPEy-int.filt.bed	H3K4me3	8	-0.05469971144278607
IAPEy-int.filt.bed	H3K4me3	9	-0.05830828358208955
IAPEy-int.filt.bed	H3K4me3	10	-0.05899443781094527
IAPEy-int.filt.bed	H3K4me3	11	-0.07058525373134328
IAPEy-int.filt.bed	H3K4me3	12	-0.0734587512437811
IAPEy-int.filt.bed	H3K4me3	13	-0.07306956218905472
IAPEy-int.filt.bed	H3K4me3	14	-0.07443133333333334
IAPEy-int.filt.bed	H3K4me3	15	-0.07590239800995024
IAPEy-int.filt.bed	H3K4me3	16	-0.08024989054726368
IAPEy-int.filt.bed	H3K4me3	17	-0.07974670149253732
IAPEy-int.filt.bed	H3K4me3	18	-0.07626790547263682
IAPEy-int.filt.bed	H3K4me3	19	-0.07740651741293532
IAPEy-int.filt.bed	H3K4me3	20	-0.07764325373134329
IAPEy-int.filt.bed	H3K4me3	21	-0.07750514925373135
IAPEy-int.filt.bed	H3K4me3	22	-0.08040005472636816
IAPEy-int.filt.bed	H3K4me3	23	-0.08936460199004975
IAPEy-int.filt.bed	H3K4me3	24	-0.09782856218905472
IAPEy-int.filt.bed	H3K4me3	25	-0.10658507960199005
IAPEy-int.filt.bed	H3K4me3	26	-0.10760237810945274
IAPEy-int.filt.bed	H3K4me3	27	-0.09461714925373134
IAPEy-int.filt.bed	H3K4me3	28	-0.1019922736318408
IAPEy-int.filt.bed	H3K4me3	29	-0.0977680447761194
IAPEy-int.filt.bed	H3K4me3	30	-0.09494943781094528
IAPEy-int.filt.bed	H3K4me3	31	-0.09472807462686568
IAPEy-int.filt.bed	H3K4me3	32	-0.09472807462686568
IAPEy-int.filt.bed	H3K4me3	33	-0.09559541293532338
IAPEy-int.filt.bed	H3K4me3	34	-0.09653907462686567
IAPEy-int.filt.bed	H3K4me3	35	-0.09191047263681593
IAPEy-int.filt.bed	H3K4me3	36	-0.08897026865671642
