Group	Sample	Bin	Score
L1Md_A.O.bed	H3K4me3	1	-0.07631726341463414
L1Md_A.O.bed	H3K4me3	2	-0.07212588780487805
L1Md_A.O.bed	H3K4me3	3	-0.07584856097560976
L1Md_A.O.bed	H3K4me3	4	-0.07846724390243902
L1Md_A.O.bed	H3K4me3	5	-0.07811731707317073
L1Md_A.O.bed	H3K4me3	6	-0.08018666829268292
L1Md_A.O.bed	H3K4me3	7	-0.08232574634146342
L1Md_A.O.bed	H3K4me3	8	-0.08317407804878049
L1Md_A.O.bed	H3K4me3	9	-0.08623157073170731
L1Md_A.O.bed	H3K4me3	10	-0.08378031707317073
L1Md_A.O.bed	H3K4me3	11	-0.08114569756097562
L1Md_A.O.bed	H3K4me3	12	-0.08853509268292684
L1Md_A.O.bed	H3K4me3	13	-0.09398284390243902
L1Md_A.O.bed	H3K4me3	14	-0.09105264390243903
L1Md_A.O.bed	H3K4me3	15	-0.09160839512195122
L1Md_A.O.bed	H3K4me3	16	-0.0921173512195122
L1Md_A.O.bed	H3K4me3	17	-0.08911743414634146
L1Md_A.O.bed	H3K4me3	18	-0.0809863024390244
L1Md_A.O.bed	H3K4me3	19	-0.07649534146341463
L1Md_A.O.bed	H3K4me3	20	-0.07172528292682927
L1Md_A.O.bed	H3K4me3	21	-0.06928664390243902
L1Md_A.O.bed	H3K4me3	22	-0.06770893170731708
L1Md_A.O.bed	H3K4me3	23	-0.06137576585365854
L1Md_A.O.bed	H3K4me3	24	-0.05741800975609756
L1Md_A.O.bed	H3K4me3	25	-0.05385199512195122
L1Md_A.O.bed	H3K4me3	26	-0.04738626829268293
L1Md_A.O.bed	H3K4me3	27	-0.04938167317073171
L1Md_A.O.bed	H3K4me3	28	-0.05130140487804878
L1Md_A.O.bed	H3K4me3	29	-0.05129321463414634
L1Md_A.O.bed	H3K4me3	30	-0.04906165365853658
L1Md_A.O.bed	H3K4me3	31	-0.05375975609756098
L1Md_A.O.bed	H3K4me3	32	-0.059882843902439024
L1Md_A.O.bed	H3K4me3	33	-0.06817223414634146
L1Md_A.O.bed	H3K4me3	34	-0.07099823414634146
L1Md_A.O.bed	H3K4me3	35	-0.07862445365853658
L1Md_A.O.bed	H3K4me3	36	-0.08204923902439025
L1Md_A.O.bed	H3K4me3	37	-0.08611143414634147
L1Md_A.O.bed	H3K4me3	38	-0.08607627317073172
L1Md_A.O.bed	H3K4me3	39	-0.08638983414634147
L1Md_A.O.bed	H3K4me3	40	-0.08848338048780488
L1Md_A.O.bed	H3K4me3	41	-0.0924252243902439
L1Md_A.O.bed	H3K4me3	42	-0.10312754146341463
L1Md_A.O.bed	H3K4me3	43	-0.111407
L1Md_A.O.bed	H3K4me3	44	-0.1052172243902439
L1Md_A.O.bed	H3K4me3	45	-0.09992146341463415
L1Md_A.O.bed	H3K4me3	46	-0.09865341951219513
L1Md_A.O.bed	H3K4me3	47	-0.09550280487804878
L1Md_A.O.bed	H3K4me3	48	-0.09699416585365854
L1Md_A.O.bed	H3K4me3	49	-0.10146283902439024
L1Md_A.O.bed	H3K4me3	50	-0.09891781463414634
L1Md_A.O.bed	H3K4me3	51	-0.09821433170731707
L1Md_A.O.bed	H3K4me3	52	-0.0949781512195122
L1Md_A.O.bed	H3K4me3	53	-0.09522534146341463
L1Md_A.O.bed	H3K4me3	54	-0.09678620975609756
L1Md_A.O.bed	H3K4me3	55	-0.10082810731707317
L1Md_A.O.bed	H3K4me3	56	-0.09783646829268293
L1Md_A.O.bed	H3K4me3	57	-0.09096334634146341
L1Md_A.O.bed	H3K4me3	58	-0.08824209268292683
L1Md_A.O.bed	H3K4me3	59	-0.08629280975609756
L1Md_A.O.bed	H3K4me3	60	-0.08163046829268293
L1Md_A.O.bed	H3K4me3	61	-0.0764948243902439
L1Md_A.O.bed	H3K4me3	62	-0.07391239024390243
L1Md_A.O.bed	H3K4me3	63	-0.07546350243902439
L1Md_A.O.bed	H3K4me3	64	-0.07866591707317074
L1Md_A.O.bed	H3K4me3	65	-0.0800160487804878
L1Md_A.O.bed	H3K4me3	66	-0.08239478048780488
L1Md_A.O.bed	H3K4me3	67	-0.07915847804878048
L1Md_A.O.bed	H3K4me3	68	-0.0697257512195122
L1Md_A.O.bed	H3K4me3	69	-0.06803999512195122
L1Md_A.O.bed	H3K4me3	70	-0.06481988780487805
L1Md_A.O.bed	H3K4me3	71	-0.062103434146341466
L1Md_A.O.bed	H3K4me3	72	-0.05870668780487805
L1Md_A.O.bed	H3K4me3	73	-0.059974624390243904
L1Md_A.O.bed	H3K4me3	74	-0.06454750243902439
L1Md_A.O.bed	H3K4me3	75	-0.058830663414634145
L1Md_A.O.bed	H3K4me3	76	-0.06121107317073171
L1Md_A.O.bed	H3K4me3	77	-0.06640935121951219
L1Md_A.O.bed	H3K4me3	78	-0.0664103756097561
L1Md_A.O.bed	H3K4me3	79	-0.06340972195121951
L1Md_A.O.bed	H3K4me3	80	-0.05345689756097561
L1Md_A.O.bed	H3K4me3	81	-0.04827605853658537
L1Md_A.O.bed	H3K4me3	82	-0.04426069756097561
L1Md_A.O.bed	H3K4me3	83	-0.03889459024390244
L1Md_A.O.bed	H3K4me3	84	-0.03682598536585366
L1Md_A.O.bed	H3K4me3	85	-0.03911087317073171
L1Md_A.O.bed	H3K4me3	86	-0.04291428292682927
L1Md_A.O.bed	H3K4me3	87	-0.041445951219512195
L1Md_A.O.bed	H3K4me3	88	-0.041589
L1Md_A.O.bed	H3K4me3	89	-0.04994621951219512
L1Md_A.O.bed	H3K4me3	90	-0.049131775609756095
L1Md_A.O.bed	H3K4me3	91	-0.049760717073170736
L1Md_A.O.bed	H3K4me3	92	-0.05259133170731707
L1Md_A.O.bed	H3K4me3	93	-0.0647881268292683
L1Md_A.O.bed	H3K4me3	94	-0.07004354634146341
L1Md_A.O.bed	H3K4me3	95	-0.07333903902439025
L1Md_A.O.bed	H3K4me3	96	-0.08366529756097561
L1Md_A.O.bed	H3K4me3	97	-0.08258096585365854
L1Md_A.O.bed	H3K4me3	98	-0.08121265365853658
L1Md_A.O.bed	H3K4me3	99	-0.07787421463414634
L1Md_A.O.bed	H3K4me3	100	-0.07581103902439025
L1Md_A.O.bed	H3K4me3	101	-0.07407081951219512
L1Md_A.O.bed	H3K4me3	102	-0.078268
L1Md_A.O.bed	H3K4me3	103	-0.08439879024390244
L1Md_A.O.bed	H3K4me3	104	-0.09379326341463415
L1Md_A.O.bed	H3K4me3	105	-0.09547298048780488
L1Md_A.O.bed	H3K4me3	106	-0.09949014146341463
L1Md_A.O.bed	H3K4me3	107	-0.09940375609756098
L1Md_A.O.bed	H3K4me3	108	-0.09917631707317073
L1Md_A.O.bed	H3K4me3	109	-0.0985933512195122
L1Md_A.O.bed	H3K4me3	110	-0.08894021463414635
L1Md_A.O.bed	H3K4me3	111	-0.08671183902439024
L1Md_A.O.bed	H3K4me3	112	-0.09397867804878049
L1Md_A.O.bed	H3K4me3	113	-0.09318478048780487
L1Md_A.O.bed	H3K4me3	114	-0.09384135121951219
L1Md_A.O.bed	H3K4me3	115	-0.09130390243902439
L1Md_A.O.bed	H3K4me3	116	-0.08265888780487805
L1Md_A.O.bed	H3K4me3	117	-0.08285349756097561
L1Md_A.O.bed	H3K4me3	118	-0.08557254146341464
L1Md_A.O.bed	H3K4me3	119	-0.0900004243902439
L1Md_A.O.bed	H3K4me3	120	-0.0923087512195122
L1Md_A.O.bed	H3K4me3	121	-0.09338826829268293
L1Md_A.O.bed	H3K4me3	122	-0.0885674487804878
L1Md_A.O.bed	H3K4me3	123	-0.08118546829268293
L1Md_A.O.bed	H3K4me3	124	-0.08335200487804878
L1Md_A.O.bed	H3K4me3	125	-0.08528078048780488
L1Md_A.O.bed	H3K4me3	126	-0.08573985365853659
L1Md_A.O.bed	H3K4me3	127	-0.08810598048780488
L1Md_A.O.bed	H3K4me3	128	-0.09237409268292683
L1Md_A.O.bed	H3K4me3	129	-0.09225904390243903
L1Md_A.O.bed	H3K4me3	130	-0.09668306829268293
L1Md_A.O.bed	H3K4me3	131	-0.09368217073170731
L1Md_A.O.bed	H3K4me3	132	-0.08913003902439025
L1Md_A.O.bed	H3K4me3	133	-0.08585448292682928
L1Md_A.O.bed	H3K4me3	134	-0.08635446341463415
L1Md_A.O.bed	H3K4me3	135	-0.08713489268292683
L1Md_A.O.bed	H3K4me3	136	-0.0817252
L1Md_A.O.bed	H3K4me3	137	-0.07673781463414635
L1Md_A.O.bed	H3K4me3	138	-0.07230801951219512
L1Md_A.O.bed	H3K4me3	139	-0.06905741951219513
L1Md_A.O.bed	H3K4me3	140	-0.07125709268292683
L1Md_A.O.bed	H3K4me3	141	-0.07057766341463415
L1Md_A.O.bed	H3K4me3	142	-0.06479459024390244
