Group	Sample	Bin	Score
L1Md_A.O.bed	E13.5	1	0.00850960487804878
L1Md_A.O.bed	E13.5	2	0.008509609756097561
L1Md_A.O.bed	E13.5	3	0.009093136585365853
L1Md_A.O.bed	E13.5	4	0.009311941463414634
L1Md_A.O.bed	E13.5	5	0.009895453658536585
L1Md_A.O.bed	E13.5	6	0.009676643902439023
L1Md_A.O.bed	E13.5	7	0.009871151219512195
L1Md_A.O.bed	E13.5	8	0.00943350243902439
L1Md_A.O.bed	E13.5	9	0.009190375609756097
L1Md_A.O.bed	E13.5	10	0.008606853658536586
L1Md_A.O.bed	E13.5	11	0.009020185365853658
L1Md_A.O.bed	E13.5	12	0.008606858536585365
L1Md_A.O.bed	E13.5	13	0.008242160975609756
L1Md_A.O.bed	E13.5	14	0.008631165853658536
L1Md_A.O.bed	E13.5	15	0.009166063414634147
L1Md_A.O.bed	E13.5	16	0.00831509756097561
L1Md_A.O.bed	E13.5	17	0.007755897560975609
L1Md_A.O.bed	E13.5	18	0.00758570243902439
L1Md_A.O.bed	E13.5	19	0.00590809756097561
L1Md_A.O.bed	E13.5	20	0.0048140146341463415
L1Md_A.O.bed	E13.5	21	0.006661804878048781
L1Md_A.O.bed	E13.5	22	0.008971546341463413
L1Md_A.O.bed	E13.5	23	0.009555073170731707
L1Md_A.O.bed	E13.5	24	0.011111117073170732
L1Md_A.O.bed	E13.5	25	0.01203501951219512
L1Md_A.O.bed	E13.5	26	0.011427180487804878
L1Md_A.O.bed	E13.5	27	0.009822517073170731
L1Md_A.O.bed	E13.5	28	0.008922931707317073
L1Md_A.O.bed	E13.5	29	0.008558239024390244
L1Md_A.O.bed	E13.5	30	0.008460980487804878
L1Md_A.O.bed	E13.5	31	0.008777058536585365
L1Md_A.O.bed	E13.5	32	0.008849990243902438
L1Md_A.O.bed	E13.5	33	0.009555073170731707
L1Md_A.O.bed	E13.5	34	0.009287624390243903
L1Md_A.O.bed	E13.5	35	0.009409195121951219
L1Md_A.O.bed	E13.5	36	0.01074641463414634
L1Md_A.O.bed	E13.5	37	0.011475809756097561
L1Md_A.O.bed	E13.5	38	0.01089230243902439
L1Md_A.O.bed	E13.5	39	0.011038170731707316
L1Md_A.O.bed	E13.5	40	0.011427185365853658
L1Md_A.O.bed	E13.5	41	0.008971556097560975
L1Md_A.O.bed	E13.5	42	0.009360560975609757
L1Md_A.O.bed	E13.5	43	0.01086799024390244
L1Md_A.O.bed	E13.5	44	0.010454668292682927
L1Md_A.O.bed	E13.5	45	0.009311946341463415
L1Md_A.O.bed	E13.5	46	0.011135429268292682
L1Md_A.O.bed	E13.5	47	0.010308790243902438
L1Md_A.O.bed	E13.5	48	0.009579385365853657
L1Md_A.O.bed	E13.5	49	0.009579380487804878
L1Md_A.O.bed	E13.5	50	0.010381731707317073
L1Md_A.O.bed	E13.5	51	0.00831510731707317
L1Md_A.O.bed	E13.5	52	0.0075857024390243895
L1Md_A.O.bed	E13.5	53	0.007804536585365854
L1Md_A.O.bed	E13.5	54	0.008169219512195122
L1Md_A.O.bed	E13.5	55	0.009287629268292682
L1Md_A.O.bed	E13.5	56	0.011159741463414634
L1Md_A.O.bed	E13.5	57	0.01256990731707317
L1Md_A.O.bed	E13.5	58	0.012302458536585365
L1Md_A.O.bed	E13.5	59	0.01128130243902439
L1Md_A.O.bed	E13.5	60	0.009555078048780488
L1Md_A.O.bed	E13.5	61	0.008363731707317072
L1Md_A.O.bed	E13.5	62	0.0069535609756097554
L1Md_A.O.bed	E13.5	63	0.008460975609756097
L1Md_A.O.bed	E13.5	64	0.010454663414634146
L1Md_A.O.bed	E13.5	65	0.010114268292682926
L1Md_A.O.bed	E13.5	66	0.01055191707317073
L1Md_A.O.bed	E13.5	67	0.011208380487804877
L1Md_A.O.bed	E13.5	68	0.009384892682926829
L1Md_A.O.bed	E13.5	69	0.008533926829268292
L1Md_A.O.bed	E13.5	70	0.009068814634146341
L1Md_A.O.bed	E13.5	71	0.009238999999999999
L1Md_A.O.bed	E13.5	72	0.00887430243902439
L1Md_A.O.bed	E13.5	73	0.009287629268292682
L1Md_A.O.bed	E13.5	74	0.00921469268292683
L1Md_A.O.bed	E13.5	75	0.010260141463414633
L1Md_A.O.bed	E13.5	76	0.011402873170731707
L1Md_A.O.bed	E13.5	77	0.012521273170731708
L1Md_A.O.bed	E13.5	78	0.013591053658536585
L1Md_A.O.bed	E13.5	79	0.015633351219512193
L1Md_A.O.bed	E13.5	80	0.015657668292682926
L1Md_A.O.bed	E13.5	81	0.015609039024390243
L1Md_A.O.bed	E13.5	82	0.015633346341463412
L1Md_A.O.bed	E13.5	83	0.014612199999999999
L1Md_A.O.bed	E13.5	84	0.013104795121951219
L1Md_A.O.bed	E13.5	85	0.01329929756097561
L1Md_A.O.bed	E13.5	86	0.012496965853658537
L1Md_A.O.bed	E13.5	87	0.011329936585365854
L1Md_A.O.bed	E13.5	88	0.01150011707317073
L1Md_A.O.bed	E13.5	89	0.010965229268292683
L1Md_A.O.bed	E13.5	90	0.010770726829268292
L1Md_A.O.bed	E13.5	91	0.010406029268292682
L1Md_A.O.bed	E13.5	92	0.011573068292682927
L1Md_A.O.bed	E13.5	93	0.011913439024390243
L1Md_A.O.bed	E13.5	94	0.012788717073170731
L1Md_A.O.bed	E13.5	95	0.01239971219512195
L1Md_A.O.bed	E13.5	96	0.013274980487804879
L1Md_A.O.bed	E13.5	97	0.01295890243902439
L1Md_A.O.bed	E13.5	98	0.012934595121951218
L1Md_A.O.bed	E13.5	99	0.01407731707317073
L1Md_A.O.bed	E13.5	100	0.015633360975609755
L1Md_A.O.bed	E13.5	101	0.01611961951219512
L1Md_A.O.bed	E13.5	102	0.014831029268292682
L1Md_A.O.bed	E13.5	103	0.013299287804878048
L1Md_A.O.bed	E13.5	104	0.011864814634146341
L1Md_A.O.bed	E13.5	105	0.010673473170731708
L1Md_A.O.bed	E13.5	106	0.010430351219512194
L1Md_A.O.bed	E13.5	107	0.01069779512195122
L1Md_A.O.bed	E13.5	108	0.01256990243902439
L1Md_A.O.bed	E13.5	109	0.012059326829268292
L1Md_A.O.bed	E13.5	110	0.011597370731707317
L1Md_A.O.bed	E13.5	111	0.011524439024390244
L1Md_A.O.bed	E13.5	112	0.012618521951219512
L1Md_A.O.bed	E13.5	113	0.01276440975609756
L1Md_A.O.bed	E13.5	114	0.012983224390243901
L1Md_A.O.bed	E13.5	115	0.012910282926829268
L1Md_A.O.bed	E13.5	116	0.0123754
L1Md_A.O.bed	E13.5	117	0.012351082926829267
L1Md_A.O.bed	E13.5	118	0.010940917073170731
L1Md_A.O.bed	E13.5	119	0.010770731707317073
L1Md_A.O.bed	E13.5	120	0.011354243902439025
L1Md_A.O.bed	E13.5	121	0.011864824390243903
L1Md_A.O.bed	E13.5	122	0.011232678048780488
L1Md_A.O.bed	E13.5	123	0.011913443902439024
L1Md_A.O.bed	E13.5	124	0.013420858536585365
L1Md_A.O.bed	E13.5	125	0.013518126829268293
L1Md_A.O.bed	E13.5	126	0.013834185365853659
L1Md_A.O.bed	E13.5	127	0.013907117073170732
L1Md_A.O.bed	E13.5	128	0.01422319512195122
L1Md_A.O.bed	E13.5	129	0.014150263414634146
L1Md_A.O.bed	E13.5	130	0.013007536585365853
L1Md_A.O.bed	E13.5	131	0.012910292682926828
L1Md_A.O.bed	E13.5	132	0.014053009756097561
L1Md_A.O.bed	E13.5	133	0.01444200487804878
L1Md_A.O.bed	E13.5	134	0.013591048780487804
L1Md_A.O.bed	E13.5	135	0.01363969268292683
L1Md_A.O.bed	E13.5	136	0.013469482926829267
L1Md_A.O.bed	E13.5	137	0.012107951219512195
L1Md_A.O.bed	E13.5	138	0.010867985365853658
