Group	Sample	Bin	Score
L1Md_A.O.bed	E13.5	1	0.20104800975609755
L1Md_A.O.bed	E13.5	2	0.20206767804878048
L1Md_A.O.bed	E13.5	3	0.20437648780487805
L1Md_A.O.bed	E13.5	4	0.20380889756097562
L1Md_A.O.bed	E13.5	5	0.2022312195121951
L1Md_A.O.bed	E13.5	6	0.20273146341463413
L1Md_A.O.bed	E13.5	7	0.20399162926829267
L1Md_A.O.bed	E13.5	8	0.20493443902439024
L1Md_A.O.bed	E13.5	9	0.20649290731707318
L1Md_A.O.bed	E13.5	10	0.20795511707317074
L1Md_A.O.bed	E13.5	11	0.20885940975609757
L1Md_A.O.bed	E13.5	12	0.21031203414634148
L1Md_A.O.bed	E13.5	13	0.21077376585365853
L1Md_A.O.bed	E13.5	14	0.213679
L1Md_A.O.bed	E13.5	15	0.21355393658536587
L1Md_A.O.bed	E13.5	16	0.212640043902439
L1Md_A.O.bed	E13.5	17	0.213804043902439
L1Md_A.O.bed	E13.5	18	0.2128997756097561
L1Md_A.O.bed	E13.5	19	0.21340001463414635
L1Md_A.O.bed	E13.5	20	0.21408301951219513
L1Md_A.O.bed	E13.5	21	0.21517966341463415
L1Md_A.O.bed	E13.5	22	0.21518929268292683
L1Md_A.O.bed	E13.5	23	0.21490073658536585
L1Md_A.O.bed	E13.5	24	0.21391948292682927
L1Md_A.O.bed	E13.5	25	0.21387139512195122
L1Md_A.O.bed	E13.5	26	0.2142753951219512
L1Md_A.O.bed	E13.5	27	0.21428506341463416
L1Md_A.O.bed	E13.5	28	0.21642067804878048
L1Md_A.O.bed	E13.5	29	0.2176327756097561
L1Md_A.O.bed	E13.5	30	0.21916236097560976
L1Md_A.O.bed	E13.5	31	0.21881603902439023
L1Md_A.O.bed	E13.5	32	0.21853704390243903
L1Md_A.O.bed	E13.5	33	0.219864643902439
L1Md_A.O.bed	E13.5	34	0.22032639024390244
L1Md_A.O.bed	E13.5	35	0.21998006341463414
L1Md_A.O.bed	E13.5	36	0.2193836536585366
L1Md_A.O.bed	E13.5	37	0.2233855268292683
L1Md_A.O.bed	E13.5	38	0.22503055121951218
L1Md_A.O.bed	E13.5	39	0.22614645365853658
L1Md_A.O.bed	E13.5	40	0.22529989268292683
L1Md_A.O.bed	E13.5	41	0.22839754146341462
L1Md_A.O.bed	E13.5	42	0.23050431707317073
L1Md_A.O.bed	E13.5	43	0.2307833268292683
L1Md_A.O.bed	E13.5	44	0.23141820975609756
L1Md_A.O.bed	E13.5	45	0.23269766829268293
L1Md_A.O.bed	E13.5	46	0.23732490731707317
L1Md_A.O.bed	E13.5	47	0.2406342048780488
L1Md_A.O.bed	E13.5	48	0.2411151756097561
L1Md_A.O.bed	E13.5	49	0.2433951024390244
L1Md_A.O.bed	E13.5	50	0.24588668292682928
L1Md_A.O.bed	E13.5	51	0.24773368780487806
L1Md_A.O.bed	E13.5	52	0.2482050731707317
L1Md_A.O.bed	E13.5	53	0.24915748780487804
L1Md_A.O.bed	E13.5	54	0.2521973853658537
L1Md_A.O.bed	E13.5	55	0.2545542390243902
L1Md_A.O.bed	E13.5	56	0.25273608780487805
L1Md_A.O.bed	E13.5	57	0.2527360975609756
L1Md_A.O.bed	E13.5	58	0.25390011219512193
L1Md_A.O.bed	E13.5	59	0.25546818536585364
L1Md_A.O.bed	E13.5	60	0.2560838243902439
L1Md_A.O.bed	E13.5	61	0.25517960975609755
L1Md_A.O.bed	E13.5	62	0.2541406536585366
