Chr	Start	End	Strand	Feature	ID	Mismatch_vs_Consensus	No.Sublocations	No.Probes	MeanMiwi2_KO	StDevMiwi2_KO	MeanSpocd1_KO	StDevSpocd1_KO	MeanWT	StDevWT
chr1	3846871	3852833	-	L1Md_T	L1Md_T	107	1	3	79.693280000000001	8.985451	80.14237	10.5351095	89.791115	1.9396212
chr1	5189143	5194724	+	L1Md_T	L1Md_T	49	1	4	66.075614999999999	14.80239	75.234859999999998	11.46228	89.873184	6.625415
chr1	5266738	5273059	-	L1Md_T	L1Md_T	43	1	4	70.555670000000006	25.40409	81.467749999999995	18.226831	88.73836	2.6944005
chr1	5350393	5356254	+	L1Md_T	L1Md_T	35	1	1	78.956490000000002	0	67.92747	0	77.766914	0
chr1	5423429	5428578	+	L1Md_T	L1Md_T	31	1	3	61.9437	19.394764	69.992500000000007	11.123593	81.68329	7.24377
chr1	5993095	5998361	+	L1Md_T	L1Md_T	45	1	3	63.245759999999997	17.301626	61.705039999999997	14.199163	85.90066	3.703558
chr1	6144991	6151219	-	L1Md_T	L1Md_T	29	1	4	60.554020000000001	33.244	77.955250000000007	15.833422	88.58946	5.013555
chr1	7190467	7195816	+	L1Md_T	L1Md_T	46	1	1	NaN	0	NaN	0	NA	0
chr1	7281634	7288057	-	L1Md_T	L1Md_T	49	1	4	77.801630000000003	7.4931684	77.919426000000001	12.349405	82.90011	9.976707
chr1	7843439	7848822	+	L1Md_T	L1Md_T	47	1	3	53.861663999999998	8.5959835000000009	55.263739999999999	11.749963	68.40927	13.106309
chr1	10882284	10887768	-	L1Md_T	L1Md_T	34	1	2	85.568389999999994	4.0376925	87.234024000000005	4.356379	89.30051	3.158578
chr1	13730905	13737328	-	L1Md_T	L1Md_T	29	1	2	63.468055999999997	16.000647	72.625230000000002	12.297908	93.17814	0
chr1	13891061	13897392	-	L1Md_T	L1Md_T	41	1	3	83.719110000000001	12.643272	NaN	0	94.19115	1.1202964
chr1	14084869	14090721	+	L1Md_T	L1Md_T	53	1	4	88.816860000000005	3.9957945	87.126580000000004	5.0086493	90.74709	3.016793
chr1	14113239	14119084	+	L1Md_T	L1Md_T	36	1	1	96.588710000000006	0	96.584469999999996	0	92.96686	0
chr1	14476212	14482475	-	L1Md_T	L1Md_T	40	1	2	69.543790000000001	34.75938	63.356772999999997	28.401112	95.43212	3.3055644
chr1	14969312	14974715	-	L1Md_T	L1Md_T	33	1	2	78.175185999999997	8.445171	85.412809999999993	5.619738	82.46092	5.775216
chr1	15083507	15089380	+	L1Md_T	L1Md_T	52	1	1	90.85248	0	87.195729999999998	0	89.456665	0
